"serial_number","original_tweet","nouns_only"
"1","Watch live: The President and First Lady speak at the White House Easter Egg Roll. http://t.co/mm4eGrZJ","watch presid ladi white hous easter egg roll"
"2","Hello Joe: @JoeBiden is new on Twitter today with the latest from the Vice President on the campaign trail.","joe joebiden twitter todai vice presid campaign trail"
"3","Bo takes his inspiration from the Easter Bunny: http://t.co/kO0XHBBV","bo inspir easter bunni"
"4","Photo of the day: The First Lady does the “Bunny Pokey.” http://t.co/MmUvWP3W","photo dai ladi bunni pokei"
"5","To all Americans I hope you have a weekend filled with joy and reflection focused on the things that matter most. http://t.co/cYNgSBk6","american weekend joi reflect thing"
"6","Be a fly on the wall in an #Obama2012 field office—and if you like what you hear join a team in your own neighborhood: http://t.co/kJAFoIsa","fly wall obama2012 field officeand team neighborhood"
"7","Mine isn’t a big donation maybe it’s enough for a box of light bulbs—even that can keep an office up and running!” http://t.co/CdEbH3YP","mine donat box bulbseven offic"
"8","Latinos for Obama launches on April 18th—sign up to host a house party and hear from @GeorgeLopez and @Archuleta2012: http://t.co/c4Amijl9","latino obama launch april hous parti georgelopez archuleta2012"
"9","22000 households making more than $1 million paid less than 15% in taxes in 2009—less than most middle-class families. #BuffettRule","household tax famili buffettrul"
"10","Despite near-record profits Big Oil keeps getting $4 billion of your tax dollars every year. Tell Congress time’s up: http://t.co/51X3LAHo","nearrecord profit oil tax dollar year congress time"
"11","President Obama wishes a chag sameach to all those celebrating Passover this weekend: http://t.co/rF78IBqv","presid obama chag sameach passov weekend"
"12","Jobs news this morning: the economy has added more than 4 million private-sector jobs over the last 25 months. http://t.co/hFBJ9aYi","job new morn economi privatesector 25"
"13","An estimated 20.4 million women are benefiting from expanded access to preventive services at no additional cost.","women access servic cost"
"14","Women-owned small businesses have received more than 16000 Small Business Administration loans totaling more than $4.5 billion.","small busi administr loan total $45"
"15","Of the additional 3.4 million students who have received Pell Grants since the President took office approximately 2.3 million are women.","student pell grant presid offic women"
"16","“As a father one of the highlights of every day is asking my daughters about their day. Their hopes and their futures.” —President Obama","father dai daughter hope futur presid obama"
"17","Is it possible that Congress would get more done if there were more women in Congress? That is almost guaranteed. —President Obama","congress women guarante obama"
"18","POTUS: “Every single day another 500 women take the helm of their own company right here in America.”","potu dai women helm compani america"
"19","President Obama at the White House Forum on Women and the Economy: “Women are over half this country and its work force.”","presid obama white hous forum women economi half work forc"
"20","Watch live: President Obama speaks at the White House Forum on Women and the Economy. http://t.co/mm4eGrZJ","watch presid obama white hous forum women economi"
"21","I thought: 'Well I’m for the common man too—sounds like I’m a Democrat.'” http://t.co/CS0bBt1X #51Volunteers","man toosound democrat 51volunt"
"22","President Obama signed the JOBS Act today to make it easier for small businesses to get the financing they need: http://t.co/KqnLfomn","presid obama job todai busi financ"
"23","So what's Romney hiding? Tweet @MittRomney to demand he release his tax returns. #WhatsRomneyHiding","romnei hide tweet mittromnei tax return"
"24",".@Messina2012: Each week new questions are raised about whether [Romney] took unusual steps to avoid paying his fair share in taxes.","messina2012 week question romnei step share tax"
"25","The Washington Post reported today that Mitt Romney is using a loophole to avoid disclosing his financial records: http://t.co/SOO8RrPR","washington post todai mitt romnei loophol record"
"26","This campaign has come a long way in a year and a day. Check out #Obama2012's progress—and sign up to help build on it: http://t.co/lKN66zjG","campaign year dai obama2012 sign"
"27","Kentucky and Baylor cut down the nets—but did you beat #BaracksBracket? See if you made the All-Bracket Challenge team: http://t.co/1tmHLObp","kentucki baylor netsbut baracksbracket allbracket challeng team"
"28","We are kind of long past the time when women should be excluded from anything.—@WhiteHouse: http://t.co/T9bH9oxO","kind time women anythingwhitehous"
"29","Mitt Romney vs. reality: http://t.co/NTVdKhIY","mitt romnei realiti"
"30","POTUS: “This is a country that’s always been on the cutting edge—and the reason is that America’s always had the most daring entrepreneurs.”","potu countri edgeand reason america entrepreneur"
"31","“Every day I’m fighting to make sure that America is the best place on earth to do business.” —President Obama on making financing easier","dai america place earth busi presid obama financ"
"32","President Obama on signing the JOBS Act: “For start-ups and small businesses this bill is a potential game-changer.”","presid obama job startup busi bill gamechang"
"33","Watch live: President Obama signs the JOBS Act making it easier for startups and small businesses to get financing. http://t.co/mm4eGrZJ","watch presid obama sign job startup busi financ"
"34","In 2009 1470 millionaires paid $0 in federal income tax. The Buffett Rule would make sure they pay their #FairShare.","millionair incom tax buffett rule fairshar"
"35","Time to stop paying Big Oil twice—at the pump and on tax day. Tell Congress to end taxpayer giveaways to oil companies: http://t.co/l1RtyUVe","time oil twiceat pump tax dai congress taxpay giveawai compani"
"36","Find out why Big Oil is using record profits to attack the President: http://t.co/69531jDE","big oil record profit presid"
"37","Fired up ready to go: http://t.co/e1gt1rIj",""
"38","The five best videos of the last year as selected by the #Obama2012 team: http://t.co/YYswJcIU","video year obama2012 team"
"39","Here's a look at the five best @BarackObama tweets of this last year. Reply with your own favorite. http://t.co/SF3XaWYx","barackobama tweet year"
"40","This campaign launched a year ago today—check out #Obama2012’s progress to date and sign up to keep it moving forward: http://t.co/8qE9hU7c","campaign year todaycheck obama2012"
"41","Here are some #Obama2012 staff picks for the best of the last year: http://t.co/pE5swyUm","obama2012 staff year"
