"original_tweet","total_words","total_sentiment","total_nouns","total_users"
"Watch live: The President and First Lady speak at the White House Easter Egg Roll. http://t.co/mm4eGrZJ","16","0.321428571429","8","0"
"Hello, Joe: @JoeBiden is new on Twitter today, with the latest from the Vice President on the campaign trail.","19","0.625","8","0"
"Bo takes his inspiration from the Easter Bunny: http://t.co/kO0XHBBV","9","0.0","4","0"
"Photo of the day: The First Lady does the “Bunny Pokey.” http://t.co/MmUvWP3W","12","0.0","5","0"
"To all Americans, I hope you have a weekend filled with joy and reflection, focused on the things that matter most. http://t.co/cYNgSBk6","22","0.5","5","2"
"Be a fly on the wall in an #Obama2012 field office—and if you like what you hear, join a team in your own neighborhood: http://t.co/kJAFoIsa","25","1.0","7","1"
"Mine isn’t a big donation, maybe it’s enough for a box of light bulbs—even that can keep an office up and running!” http://t.co/CdEbH3YP","23","0.65625","5","1"
"Latinos for Obama launches on April 18th—sign up to host a house party and hear from @GeorgeLopez and @Archuleta2012: http://t.co/c4Amijl9","20","0.0","8","0"
"22,000 households making more than $1 million paid less than 15% in taxes in 2009—less than most middle-class families. #BuffettRule","20","0.4375","4","2"
"Despite near-record profits, Big Oil keeps getting $4 billion of your tax dollars every year. Tell Congress time’s up: http://t.co/51X3LAHo","20","1.1875","8","3"
"President Obama wishes a chag sameach to all those celebrating Passover this weekend: http://t.co/rF78IBqv","14","0.0","6","0"
"Jobs news this morning: the economy has added more than 4 million private-sector jobs over the last 25 months. http://t.co/hFBJ9aYi","20","0.0","6","2"
"An estimated 20.4 million women are benefiting from expanded access to preventive services at no additional cost.","17","0.375","4","2"
"Women-owned small businesses have received more than 16,000 Small Business Administration loans totaling more than $4.5 billion.","17","0.75","6","1"
"Of the additional 3.4 million students who have received Pell Grants since the President took office, approximately 2.3 million are women.","21","0.25","6","0"
"“As a father, one of the highlights of every day is asking my daughters about their day. Their hopes and their futures.” —President Obama","24","0.0","7","0"
"Is it possible that Congress would get more done if there were more women in Congress? That is almost guaranteed. —President Obama","22","0.0","4","0"
"POTUS: “Every single day, another 500 women take the helm of their own company right here in America.”","18","0.0","6","2"
"President Obama at the White House Forum on Women and the Economy: “Women are over half this country, and its work force.”","22","0.0","10","1"
"Watch live: President Obama speaks at the White House Forum on Women and the Economy. http://t.co/mm4eGrZJ","16","0.321428571429","8","0"
"I thought: 'Well, I’m for the common man, too—sounds like I’m a Democrat.'” http://t.co/CS0bBt1X #51Volunteers","15","0.625","4","0"
"President Obama signed the JOBS Act today to make it easier for small businesses to get the financing they need: http://t.co/KqnLfomn","21","0.0","6","2"
"So what's Romney hiding? Tweet @MittRomney to demand he release his tax returns. #WhatsRomneyHiding","14","0.0","6","0"
".@Messina2012: Each week, new questions are raised about whether [Romney] took unusual steps to avoid paying his fair share in taxes.","21","0.5625","7","0"
"The Washington Post reported today that Mitt Romney is using a loophole to avoid disclosing his financial records: http://t.co/SOO8RrPR","19","0.375","7","1"
"This campaign has come a long way in a year and a day. Check out #Obama2012's progress—and sign up to help build on it: http://t.co/lKN66zjG","25","0.0","5","0"
"Kentucky and Baylor cut down the nets—but did you beat #BaracksBracket? See if you made the All-Bracket Challenge team: http://t.co/1tmHLObp","20","0.0","7","0"
"We are kind of long past the time when women should be excluded from anything.—@WhiteHouse: http://t.co/T9bH9oxO","16","0.90625","4","1"
"Mitt Romney vs. reality: http://t.co/NTVdKhIY","5","0.375","3","0"
"POTUS: “This is a country that’s always been on the cutting edge—and the reason is that America’s always had the most daring entrepreneurs.”","23","0.225","6","0"
"“Every day, I’m fighting to make sure that America is the best place on earth to do business.” —President Obama on making financing easier","24","1.229166666667","8","0"
"President Obama on signing the JOBS Act: “For start-ups and small businesses, this bill is a potential game-changer.”","18","0.0","7","1"
"Watch live: President Obama signs the JOBS Act, making it easier for startups and small businesses to get financing. http://t.co/mm4eGrZJ","20","0.550595238096","8","1"
"In 2009, 1,470 millionaires paid $0 in federal income tax. The Buffett Rule would make sure they pay their #FairShare.","20","0.45833333333299997","6","0"
"Time to stop paying Big Oil twice—at the pump and on tax day. Tell Congress to end taxpayer giveaways to oil companies: http://t.co/l1RtyUVe","23","0.75","10","1"
"Find out why Big Oil is using record profits to attack the President: http://t.co/69531jDE","14","0.9375","5","1"
"The five best videos of the last year, as selected by the #Obama2012 team: http://t.co/YYswJcIU","15","0.3125","4","0"
"Here's a look at the five best @BarackObama tweets of this last year. Reply with your own favorite. http://t.co/SF3XaWYx","19","0.0","3","0"
"This campaign launched a year ago today—check out #Obama2012’s progress to date and sign up to keep it moving forward: http://t.co/8qE9hU7c","21","0.25","4","0"
"Here are some #Obama2012 staff picks for the best of the last year: http://t.co/pE5swyUm","14","0.0","3","0"
"For Diarra from New Jersey, the best moment of the last year was the President's State of the Union: http://t.co/LHflwvOK","20","0.0","6","0"
"Kari from Georgia on President Obama singing Al Green: Makes me smile every time I see it. http://t.co/tSb8hK94","18","0.833333333333","8","0"
"Adam from Wisconsin loved The Road We've Traveled—an inside look at the President's first three years: http://t.co/4OZWggTy","17","0.325","7","0"
"Kendra of New York: “'Women are not an interest group' was the best line of any campaign in my recent memory!” http://t.co/IwYx6KbH","22","0.708333333333","7","1"
"Samantha from Massachusetts was touched when the President signed thank you to a young man in Maryland: http://t.co/rRn4imhj","18","0.0","5","0"
"Over the last couple of days, we've asked you about your favorite moments from this last year. Coming up: five people's picks.","22","0.75","6","0"
"If you've been part of this already, thank you. If you haven't, see what we've done so far and say you're in now: http://t.co/f9mYJipv","24","0.0","1","0"
